unit,site,patch_num,flr_id,flr_strp,trmt,seeds_mean,spk_count,spk_wt,spk_flr,mean_flr_dns_m2,germ_rate,seed_flr,prop_prsr_m2,yrs_spraying,phrag_marsh,prop_prsr_marsh
CRU,CRU,1,CRU1.2,0.237,Low,6,60,0.077,184.68,,,1108.1,7091.53247,0,0.01350826,95.7942405
CRU,CRU,1,CRU1.3,1.005,Low,5,60,0.06,1005,,,5025,32160,0,0.01350826,434.425533
CRU,CRU,1,CRU1.4,0.236,Low,4.3,60,0.051,277.65,,,1193.9,7640.84706,0,0.01350826,103.214523
CRU,CRU,1,CRU1.5,0.326,Low,4.3,60,0.04,489,,,2102.7,13457.28,0,0.01350826,181.784392
CRU,CRU,2,CRU2.1,0.124,Low,4.7,60,0.049,151.84,12,2.41054614,713.6,8563.59184,0,0.01350826,115.679196
CRU,CRU,2,CRU2.2,0.25,Low,4.7,60,0.047,319.15,,,1500,18000,0,0.01350826,243.148619
CRU,CRU,2,CRU2.3,0.171,Low,4.3,60,0.051,201.18,,,865.1,10380.7059,0,0.01350826,140.225239
CRU,CRU,2,CRU2.4,0.212,Low,5,60,0.055,231.27,,,1156.4,13876.3636,0,0.01350826,187.445481
CRU,CRU,2,CRU2.5,1.102,Low,7,60,0.079,836.96,,,5858.7,70304.8101,0,0.01350826,949.695417
CRU,CRU,3,CRU3.1,1.012,Low,5.3,60,0.047,1291.91,4.8,2.91873964,6847.1,32866.3149,0,0.01350826,443.966616
CRU,CRU,3,CRU3.2,0.576,Low,6,60,0.052,664.62,,,3987.7,19140.9231,0,0.01350826,258.560501
CRU,CRU,3,CRU3.3,0.52,Low,4.7,60,0.051,611.76,,,2875.3,13801.4118,0,0.01350826,186.433012
CRU,CRU,3,CRU3.4,0.595,Low,7,60,0.089,401.12,,,2807.9,13477.7528,0,0.01350826,182.060944
CRU,CRU,3,CRU3.5,0.22,Low,5,60,0.035,377.14,,,1885.7,9051.42857,0,0.01350826,122.26902
CRU,CRU,4,CRU4.1,0.54,Low,4,60,0.031,1045.16,12,4.57142857,4180.6,50167.7419,0,0.01350826,677.678732
CRU,CRU,4,CRU4.2,0.407,Low,5.3,60,0.045,542.67,,,2876.1,34513.6,0,0.01350826,466.218566
